"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GZD9JH99","journalArticle","2017","Marin, F.; Rohatgi, A.; Charlot, S.","WebPlotDigitizer, a polyvalent and free software to extract spectra from old astronomical publications: application to ultraviolet spectropolarimetry","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170802025M","In this contribution, we present WebPlotDigitizer, a polyvalent and free  software developed to facilitate easy and accurate data extraction from a variety of plot types. We describe the numerous features of this numerical tool and present its relevance when applied to astrophysical archival research. We exploit WebPlotDigitizer to extract ultraviolet spectropolarimetric spectra from old publications that used the Hubble Space Telescope, Lick Observatory 3m Shane telescope and Astro-2 mission to observe the Seyfert-2 AGN NGC 1068. By doing so, we compile all the existing ultraviolet polarimetric data on NGC 1068 to prepare the ground for further investigations with the future high-resolution spectropolarimeter POLLUX on-board of the proposed Large UV/Optical/Infrared Surveyor (LUVOIR) NASA mission.","2017-08-01","2017-08-08 21:02:15","2017-08-31 13:44:35","2017-08-08 21:02:15","arXiv:1708.02025","","","1708","","ArXiv e-prints","WebPlotDigitizer, a polyvalent and free software to extract spectra from old astronomical publications","","","","","","","","","","","","NASA ADS","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Marin et al. 2017 - WebPlotDigitizer, a polyvalent and free software to extract spectra from old.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; 85-06; J.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H24MW2JD","journalArticle","2012","Goodman, A.a.","Principles of high-dimensional data visualization in astronomy","Astronomische Nachrichten","","1521-3994","10.1002/asna.201211705","http://onlinelibrary.wiley.com/doi/10.1002/asna.201211705/abstract","Astronomical researchers often think of analysis and visualization as separate tasks. In the case of high-dimensional data sets, though, interactive exploratory data visualization can give far more insight than an approach where data processing and statistical analysis are followed, rather than accompanied, by visualization. This paper attempts to charts a course toward “linked view” systems, where multiple views of high-dimensional data sets update live as a researcher selects, highlights, or otherwise manipulates, one of several open views. For example, imagine a researcher looking at a 3D volume visualization of simulated or observed data, and simultaneously viewing statistical displays of the data set's properties (such as an x -y plot of temperature vs. velocity, or a histogram of vorticities). Then, imagine that when the researcher selects an interesting group of points in any one of these displays, that the same points become a highlighted subset in all other open displays. Selections can be graphical or algorithmic, and they can be combined, and saved. For tabular (ASCII) data, this kind of analysis has long been possible, even though it has been under-used in astronomy. The bigger issue for astronomy and other “high-dimensional” fields, though, is that no extant system allows for full integration of images and data cubes within a linked-view environment. The paper concludes its history and analysis of the present situation with suggestions that look toward cooperatively-developed open-source modular software as a way to create an evolving, flexible, high-dimensional, linked-view visualization environment useful in astro-physical research (© 2012 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim)","2012-06-01","2017-08-01 14:11:44","2017-08-31 13:42:13","2017-08-01 14:11:44","505-514","","5-6","333","","Astron. Nachr.","","","","","","","","en","","","","","Wiley Online Library","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2012/Goodman 2012 - Principles of high-dimensional data visualization in astronomy.pdf","","","cosmology: large-scale structure; ISM: clouds; methods: data analysis; techniques: image processing; techniques: radial velocities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ND5BFM5J","journalArticle","2017","Taylor, Mark","TOPCAT: Desktop Exploration of Tabular Data for Astronomy and Beyond","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2017arXiv170702160T","TOPCAT, the Tool for OPerations on Catalogues And Tables, is an interactive desktop application for retrieval, analysis and manipulation of tabular data, offering a powerful and flexible range of interactive visualization options amongst other features. Its visualization capabilities focus on enabling interactive exploration of large static local tables - millions of rows and hundreds of columns can easily be handled on a standard desktop or laptop machine, and various options are provided for meaningful graphical representation of such large datasets. TOPCAT has been developed in the context of astronomy, but many of its features are equally applicable to other domains. The software, which is free and open source, is written in Java, and the underlying high-performance visualisation library is suitable for re-use in other applications.","2017-07-01","2017-07-10 13:27:58","2017-07-10 13:27:58","2017-07-10 13:27:58","arXiv:1707.02160","","","1707","","ArXiv e-prints","TOPCAT","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Taylor 2017 - TOPCAT.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"826G772M","conferencePaper","1998","Hroch, F.","Computer Programs for CCD Photometry","","978-80-85882-08-7","","","http://adsabs.harvard.edu/abs/1998stel.conf...30H","Not Available","1998-02-01","2017-06-12 14:53:01","2017-06-12 14:53:01","2017-06-12 14:53:01","30","","","","","","","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/1998/Hroch 1998 - Computer Programs for CCD Photometry.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20th Stellar Conference of the Czech and Slovak Astronomical Institutes","","","","","","","","","","","","","","",""
"GY8ZSVWS","journalArticle","2016","Wium, Daniël J.; Soelen, Brian van","AutoCal: A software application for calibrating photometric data","South African Journal of Science","","1996-7489","10.17159/sajs.2016/20150034","http://www.sajs.co.za/autocal-software-application-calibrating-photometric-data/dani%C3%ABl-j-wium-brian-van-soelen","We present a software application for the calibration of stellar magnitudes in the absence of standard stars. It uses an existing algorithm to match stars in the target’s field of view to catalogue entries and computes the average offset between the two sets of magnitudes using a weighted least-squares approach. This offset is used to calibrate the target’s instrumental magnitude. The software application was used to calibrate magnitudes for six Be/X-ray binary sources in the Small Magellanic Cloud and the results were compared with published results for these sources. Where comparisons were possible, our results agreed with those results within the uncertainties specified. Infrared variability was found for all six of the sources tested. The interactive outlier removal that was made possible by our software allowed for smaller uncertainties to be reported for our results.The AutoCal software is openly available here:&nbsp;http://hdl.handle.net/11660/2382","2016-03-30","2017-06-09 13:40:47","2017-06-12 13:43:58","","8 Pages","","3/4","112","","","AutoCal","","","","","","","en","","","","","www.sajs.co.za","","2","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Wium and Soelen 2016 - AutoCal.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTSMAIMD","journalArticle","2012","Mancone, Conor L.; Gonzalez, Anthony H.","EzGal: A Flexible Interface for Stellar Population Synthesis Models","Publications of the Astronomical Society of the Pacific","","0004-6280","10.1086/666502;","http://adsabs.harvard.edu/abs/2012PASP..124..606M","We present EzGal, a flexible Python program designed to easily generate observable parameters (magnitudes, colors, and mass-to-light ratios) for arbitrary input stellar population synthesis (SPS) models. As has been demonstrated by various authors, for many applications the choice of input SPS models can be a significant source of systematic uncertainty. A key strength of EzGal is that it enables simple, direct comparison of different model sets so that the uncertainty introduced by choice of model set can be quantified. Its ability to work with new models will allow EzGal to remain useful as SPS modeling evolves to keep up with the latest research (such as varying IMFs). EzGal is also capable of generating composite stellar population models (CSPs) for arbitrary input star-formation histories and reddening laws, and it can be used to interpolate between metallicities for a given model set. To facilitate use, we have created an online interface to run EzGal and quickly generate magnitude and mass-to-light ratio predictions for a variety of star-formation histories and model sets. We make many commonly used SPS models available from the online interface, including the canonical Bruzual & Charlot models, an updated version of these models, the Maraston models, the BaSTI models, and the Flexible Stellar Population Synthesis (FSPS) models. We use EzGal to compare magnitude predictions for the model sets as a function of wavelength, age, metallicity, and star-formation history. From this comparison we quickly recover the well-known result that the models agree best in the optical for old solar-metallicity models, with differences at the ˜0.1 level. Similarly, the most problematic regime for SPS modeling is for young ages (≲2 Gyr) and long wavelengths (λ≳7500 Å), where thermally pulsating AGB stars are important and scatter between models can vary from 0.3 mag (Sloan i) to 0.7 mag (Ks). We find that these differences are not caused by one discrepant model set and should therefore be interpreted as general uncertainties in SPS modeling. Finally, we connect our results to a more physically motivated example by generating CSPs with a star-formation history matching the global star-formation history of the universe. We demonstrate that the wavelength and age dependence of SPS model uncertainty translates into a redshift-dependent model uncertainty, highlighting the importance of a quantitative understanding of model differences when comparing observations with models as a function of redshift.","2012-06-01","2013-04-17 00:49:19","2013-04-17 00:49:19","2013-04-17 00:49:19","606-615","","","124","","Publications of the Astronomical Society of the Pacific","EzGal","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2012/Mancone y Gonzalez - 2012 - EzGal.pdf","","","Data Analysis and Techniques","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9XHA9BD","journalArticle","2012","Maughan, B. J.","PICACS: self-consistent modelling of galaxy cluster scaling relations","arXiv:1212.0858 [astro-ph]","","","","http://arxiv.org/abs/1212.0858","In this paper, we introduce PICACS, a physically-motivated, internally consistent model of scaling relations between galaxy cluster masses and their observable properties. This model can be used to constrain simultaneously the form, scatter (including its covariance) and evolution of the scaling relations, as well as the masses of the individual clusters. In this framework, scaling relations between observables (such as that between X-ray luminosity and temperature) are modelled explicitly in terms of the fundamental mass-observable scaling relations, and so are fully constrained without being fit directly. We apply the PICACS model to two observational datasets, and show that it performs as well as traditional regression methods for simply measuring individual scaling relation parameters, but reveals additional information on the processes that shape the relations while providing self-consistent mass constraints. Our analysis suggests that the observed combination of slopes of the scaling relations can be described by a deficit of gas in low-mass clusters that is compensated for by elevated gas temperatures, such that the total thermal energy of the gas in a cluster of given mass remains close to self-similar expectations. This is interpreted as the result of AGN feedback removing low entropy gas from low mass systems, while heating the remaining gas. We deconstruct the luminosity-temperature (LT) relation and show that its steepening compared to self-similar expectations can be explained solely by this combination of gas depletion and heating in low mass systems, without any additional contribution from a mass dependence of the gas structure. Finally, we demonstrate that a self-consistent analysis of the scaling relations leads to an expectation of self-similar evolution of the LT relation that is significantly weaker than is commonly assumed.","2012-12-04","2014-02-26 12:42:35","2014-02-26 12:42:35","2014-02-26 12:42:35","","","","","","","PICACS","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2012/Maughan - 2012 - PICACS.pdf","","","Astrophysics - Cosmology and Extragalactic Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GVHWDX2S","journalArticle","2014","Pietrinferni, A.; Molinaro, M.; Cassisi, S.; Pasian, F.; Salaris, M.; Pelusi, D.; Manzato, P.; Vuerli, C.","BaSTI: An updated, advanced and VO-compliant database of stellar evolution predictions","Astronomy and Computing","","2213-1337","10.1016/j.ascom.2014.07.002","http://www.sciencedirect.com/science/article/pii/S2213133714000304","Stellar evolution model databases, spanning a wide ranges of masses and initial chemical compositions, are nowadays a major tool to study Galactic and extragalactic stellar populations. We describe here the current status of the widely used BaSTI (A Bag of Stellar Tracks and Isochrones) database. We focus in particular on the efforts devoted to port BaSTI to a VO-compliant environment, the BaSTI Web portal that enables users to retrieve data tables and run a range of web tools to facilitate the theoretical analysis of observations, and planned future developments within the framework of the Italian Virtual Observatory project.","2014-11","2015-03-20 19:02:19","2015-03-20 20:24:33","2015-03-20 19:02:19","95-100","","","7–8","","Astronomy and Computing","BaSTI","Special Issue on The Virtual Observatory: I","","","","","","","","","","","ScienceDirect","","","","/home/gabriel/Dropbox/apps_sync/Zot/2014/Pietrinferni et al. - 2014 - BaSTI.pdf","","","elsarticle.cls; Elsevier; LaTeX; Template","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZQXV9JS","journalArticle","2014","Elliott, J.; de Souza, R. S.; Krone-Martins, A.; Cameron, E.; Ishida, E. E. O.; Hilbe, J.","The Overlooked Potential of Generalized Linear Models in Astronomy-II: Gamma regression and photometric redshifts","ArXiv e-prints","","","","http://adsabs.harvard.edu/abs/2014arXiv1409.7699E","Machine learning techniques offer a precious tool box for use within  astronomy to solve problems involving so-called big data. They provide a means to make accurate predictions about a particular system without prior knowledge of the underlying physical processes of the data. In this article, and the companion papers of this series, we present the set of Generalized Linear Models (GLMs) as a fast alternative method for tackling general astronomical problems, including the ones related to the machine learning paradigm. To demonstrate the applicability of GLMs to inherently positive and continuous physical observables, we explore their use in estimating the photometric redshifts of galaxies from their multi-wavelength photometry. Using the gamma family with a log link function we predict redshifts from the photo-z Accuracy Testing simulated catalogue and a subset of the Sloan Digital Sky Survey from Data Release 10. We obtain fits that result in catastrophic outlier rates as low as ~1% for simulated and ~2% for real data. Moreover, we can easily obtain such levels of precision within a matter of seconds on a normal desktop computer and with training sets that contain merely thousands of galaxies. Our software is made publicly available as an user-friendly package developed in Python, R and via an interactive web application. This software allows users to apply a set of GLMs to their own photometric catalogues and generates publication quality plots with minimum effort from the user. By facilitating their ease of use to the astronomical community, this paper series aims to make GLMs widely known and to encourage their implementation in future large-scale projects, such as the Large Synoptic Survey Telescope.","2014-09-01","2014-10-05 02:32:40","2014-10-05 02:32:40","2014-10-05 02:32:40","7699","","","1409","","ArXiv e-prints","The Overlooked Potential of Generalized Linear Models in Astronomy-II","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2014/Elliott et al. - 2014 - The Overlooked Potential of Generalized Linear Models in Astronomy-II.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Astrophysics - Cosmology and Nongalactic Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9KXAPIE","journalArticle","2013","Astropy Collaboration; Robitaille, Thomas P.; Tollerud, Erik J.; Greenfield, Perry; Droettboom, Michael; Bray, Erik; Aldcroft, Tom; Davis, Matt; Ginsburg, Adam; Price-Whelan, Adrian M.; Kerzendorf, Wolfgang E.; Conley, Alexander; Crighton, Neil; Barbary, Kyle; Muna, Demitri; Ferguson, Henry; Grollier, Frédéric; Parikh, Madhura M.; Nair, Prasanth H.; Unther, Hans M.; Deil, Christoph; Woillez, Julien; Conseil, Simon; Kramer, Roban; Turner, James E. H.; Singer, Leo; Fox, Ryan; Weaver, Benjamin A.; Zabalza, Victor; Edwards, Zachary I.; Azalee Bostroem, K.; Burke, D. J.; Casey, Andrew R.; Crawford, Steven M.; Dencheva, Nadia; Ely, Justin; Jenness, Tim; Labrie, Kathleen; Lim, Pey Lian; Pierfederici, Francesco; Pontzen, Andrew; Ptak, Andy; Refsdal, Brian; Servillat, Mathieu; Streicher, Ole","Astropy: A community Python package for astronomy","Astronomy and Astrophysics","","0004-6361","10.1051/0004-6361/201322068","http://adsabs.harvard.edu/abs/2013A%26A...558A..33A","We present the first public version (v0.2) of the open-source and community-developed Python package, Astropy. This package provides core astronomy-related functionality to the community, including support for domain-specific file formats such as flexible image transport system (FITS) files, Virtual Observatory (VO) tables, and common ASCII table formats, unit and physical quantity conversions, physical constants specific to astronomy, celestial coordinate and time transformations, world coordinate system (WCS) support, generalized containers for representing gridded as well as tabular data, and a framework for cosmological transformations and conversions. Significant functionality is under activedevelopment, such as a model fitting framework, VO client and server tools, and aperture and point spread function (PSF) photometry tools. The core development team is actively making additions and enhancements to the current code base, and we encourage anyone interested to participate in the development of future Astropy versions.","2013-10-01","2014-09-01 17:54:23","2014-09-01 17:54:23","2014-09-01 17:54:23","33","","","558","","Astronomy and Astrophysics","Astropy","","","","","","","","","","","","NASA ADS","","","","/home/gabriel/Dropbox/apps_sync/Zot/2013/Astropy Collaboration et al. - 2013 - Astropy.pdf","","","methods: data analysis; methods: miscellaneous; virtual observatory tools","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
